Name,Locus,Genome,Contig,Start,Stop,Protein_ID,Coding_Strand,Proteome_ID,Proteome_Product,Proteome_Gene_Name,Proteome_Species,Proteome_BSR,Name
CBO_0001,GCA-001273255.1-protein1045,GCA_001273255.1,LGIK01000019.1,438701,439402,1045,-1,tr|A5I052|A5I052_CLOBH,Pirin-family protein,CBO0860,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0001
CBO_0002,GCA-001273255.1-protein3538,GCA_001273255.1,LGIK01000007.1,3391,4302,3538,1,tr|A5HYS8|A5HYS8_CLOBH,Phosphate-binding protein,CBO0384,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0002
CBO_0003,GCA-001273255.1-protein1166,GCA_001273255.1,LGIK01000021.1,47552,51850,1166,1,tr|A5I4J9|A5I4J9_CLOBH,DNA polymerase III PolC-type,polC,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),0.99,CBO_0003
CBO_0004,GCA-001273255.1-protein3221,GCA_001273255.1,LGIK01000054.1,15079,15690,3221,1,tr|A5HXW1|A5HXW1_CLOBH,DUF1836 domain-containing protein,CBO0064,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0004
CBO_0005,GCA-001573385.1-protein3368,GCA_001573385.1,LFOT01000007.1,167544,168197,3368,1,tr|A5I624|A5I624_CLOBH,Ubiquitin-interacting protein,CBO2944,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),0.93,CBO_0005
CBO_0006,GCA-001273255.1-protein1642,GCA_001273255.1,LGIK01000026.1,42094,43158,1642,-1,tr|A5I170|A5I170_CLOBH,Exported protein,CBO1232,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0006
CBO_0007,GCA-001273255.1-protein2651,GCA_001273255.1,LGIK01000049.1,96317,97057,2651,-1,sp|A5I6F4|Y3073_CLOBH,Probable transcriptional regulatory protein CBO3073/CLC_2975,CBO3073,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0007
CBO_0008,GCA-001574355.1-protein819,GCA_001574355.1,LFQF01000016.1,144398,144946,819,-1,tr|A5HZ77|A5HZ77_CLOBH,Probable chromate transport protein,CBO0533,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),0.96,CBO_0008
CBO_0009,GCA-001573665.1-protein2467,GCA_001573665.1,LFPF01000004.1,19115,19999,2467,1,tr|A5I3N0|A5I3N0_CLOBH,Propanediol/ethanolamine utilization protein,CBO2109,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),0.99,CBO_0009
CBO_0010,GCA-001273255.1-protein2822,GCA_001273255.1,LGIK01000005.1,161768,163480,2822,1,tr|A5I5R4|A5I5R4_CLOBH,Methyl-accepting chemotaxis protein,CBO2828,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0010
CBO_0011,GCA-001273255.1-protein2537,GCA_001273255.1,LGIK01000047.1,120143,121105,2537,1,tr|A5I5C4|A5I5C4_CLOBH,LytR-family transcriptional regulator,CBO2690,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),0.98,CBO_0011
CBO_0012,GCA-001273255.1-protein2874,GCA_001273255.1,LGIK01000050.1,32694,34175,2874,1,tr|A5I4U7|A5I4U7_CLOBH,Stage IV sporulation protein A,spoIVA,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0012
CBO_0013,GCA-001273255.1-protein3540,GCA_001273255.1,LGIK01000007.1,5405,6235,3540,1,tr|A5HYT0|A5HYT0_CLOBH,Phosphate transport system permease protein PstA,CBO0386,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0013
CBO_0014,GCA-001273255.1-protein170,GCA_001273255.1,LGIK01000012.1,173100,175640,170,1,tr|A5I3N9|A5I3N9_CLOBH,Choline trimethylamine-lyase,cutC,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0014
CBO_0015,GCA-001273255.1-protein2628,GCA_001273255.1,LGIK01000049.1,75414,75704,2628,-1,tr|A5I6D2|A5I6D2_CLOBH,Uncharacterized protein,CBO3051,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0015
CBO_0016,GCA-001273255.1-protein2889,GCA_001273255.1,LGIK01000050.1,50289,51167,2889,1,sp|A5I4T1|RSGA_CLOBH,Small ribosomal subunit biogenesis GTPase RsgA,rsgA,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0016
CBO_0017,GCA-001273255.1-protein3104,GCA_001273255.1,LGIK01000051.1,204342,205907,3104,-1,tr|A5I1Y3|A5I1Y3_CLOBH,Oxidoreductase,CBO1505,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0017
CBO_0018,GCA-001273255.1-protein3191,GCA_001273255.1,LGIK01000051.1,297558,298547,3191,1,tr|A5I271|A5I271_CLOBH,AraC-family transcriptional regulator,CBO1598,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0018
CBO_0019,GCA-001273255.1-protein2631,GCA_001273255.1,LGIK01000049.1,76608,78389,2631,-1,sp|A5I6D5|SYD_CLOBH,Aspartate--tRNA ligase,aspS,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0019
CBO_0020,GCA-001573255.1-protein3064,GCA_001573255.1,LFON01000041.1,8118,8564,3064,1,tr|A5HXS5|A5HXS5_CLOBH,tRNA-specific adenosine deaminase,tadA,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),0.97,CBO_0020
CBO_0021,GCA-001273255.1-protein579,GCA_001273255.1,LGIK01000017.1,62386,64554,579,1,tr|A5I0I3|A5I0I3_CLOBH,Membrane protein,CBO0992,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0021
CBO_0022,GCA-001273255.1-protein1934,GCA_001273255.1,LGIK01000030.1,86260,88158,1934,-1,tr|A5I7T8|A5I7T8_CLOBH,glutamine synthetase,glnA,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0022
CBO_0023,GCA-001273255.1-protein618,GCA_001273255.1,LGIK01000017.1,105450,105671,618,1,tr|A5I0M1|A5I0M1_CLOBH,Ferrous iron transport protein A,feoA,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0023
CBO_0024,GCA-001273255.1-protein628,GCA_001273255.1,LGIK01000017.1,114845,116653,628,-1,tr|A5I0N1|A5I0N1_CLOBH,Heavy metal transporter,CBO1039,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),0.98,CBO_0024
